correctness,grammaticality,understandability,prediction,Bleu_4,METEOR,ROUGE_L,BERTScore,MoverScore,reference_raw,answer_raw,paragraph_raw,sentence_raw,reference_norm,model
1.8,3.0,2.4,What trade did the Ming dynasty have a shortage of?,0.49616829993596173,0.35726833560869237,0.7272727272727273,0.9142221808433533,0.6782580808848975,What important trade did the Ming Dynasty have with Tibet?,horse trade,"Some scholars note that Tibetan leaders during the Ming frequently engaged in civil war and conducted their own foreign diplomacy with neighboring states such as Nepal. Some scholars underscore the commercial aspect of the Ming-Tibetan relationship, noting the Ming dynasty's shortage of horses for warfare and thus the importance of the horse trade with Tibet. Others argue that the significant religious nature of the relationship of the Ming court with Tibetan lamas is underrepresented in modern scholarship. In hopes of reviving the unique relationship of the earlier Mongol leader Kublai Khan (r. 1260–1294) and his spiritual superior Drogön Chögyal Phagpa (1235–1280) of the Sakya school of Tibetan Buddhism, the Yongle Emperor (r. 1402–1424) made a concerted effort to build a secular and religious alliance with Deshin Shekpa (1384–1415), the Karmapa of the Karma Kagyu school. However, the Yongle Emperor's attempts were unsuccessful.","Some scholars underscore the commercial aspect of the Ming-Tibetan relationship, noting the Ming dynasty's shortage of horses for warfare and thus the importance of the horse trade with Tibet.",what important trade did the ming dynasty have with tibet ?,T5 Large
2.4,3.0,3.0,What team did the Notre Dame football team beat in 1928?,4.620230541520793e-13,0.09195402298850575,0.1930379746835443,0.8759814500808716,0.535653350165488,"Against which opponent did Knute Rockne tell his team to ""win one for the Gipper?""",the Army team,"George Gipp was the school's legendary football player during 1916–20. He played semiprofessional baseball and smoked, drank, and gambled when not playing sports. He was also humble, generous to the needy, and a man of integrity. It was in 1928 that famed coach Knute Rockne used his final conversation with the dying Gipp to inspire the Notre Dame team to beat the Army team and ""win one for the Gipper."" The 1940 film, Knute Rockne, All American, starred Pat O'Brien as Knute Rockne and Ronald Reagan as Gipp. Today the team competes in Notre Dame Stadium, an 80,795-seat stadium on campus. The current head coach is Brian Kelly, hired from the University of Cincinnati on December 11, 2009. Kelly's record in midway through his sixth season at Notre Dame is 52–21. In 2012, Kelly's Fighting Irish squad went undefeated and played in the BCS National Championship Game. Kelly succeeded Charlie Weis, who was fired in November 2009 after five seasons. Although Weis led his team to two Bowl Championship Series bowl games, his overall record was 35–27, mediocre by Notre Dame standards, and the 2007 team had the most losses in school history. The football team generates enough revenue to operate independently while $22.1 million is retained from the team's profits for academic use. Forbes named the team as the most valuable in college football, worth a total of $101 million in 2007.","It was in 1928 that famed coach Knute Rockne used his final conversation with the dying Gipp to inspire the Notre Dame team to beat the Army team and ""win one for the Gipper.""",against which opponent did knute rockne tell his team to `` win one for the gipper ? '',T5 Large
3.0,3.0,3.0,How many Tajik citizens were killed in World War II?,4.740604259372055e-09,0.22940430875340154,0.384251968503937,0.9203863143920898,0.6791152916589152,What percent of Tajiks were killed during the war?,"Between 60,000(4%) and 120,000(8%)","Tajiks began to be conscripted into the Soviet Army in 1939 and during World War II around 260,000 Tajik citizens fought against Germany, Finland and Japan. Between 60,000(4%) and 120,000(8%) of Tajikistan's 1,530,000 citizens were killed during World War II. Following the war and Stalin's reign attempts were made to further expand the agriculture and industry of Tajikistan. During 1957–58 Nikita Khrushchev's Virgin Lands Campaign focused attention on Tajikistan, where living conditions, education and industry lagged behind the other Soviet Republics. In the 1980s, Tajikistan had the lowest household saving rate in the USSR, the lowest percentage of households in the two top per capita income groups, and the lowest rate of university graduates per 1000 people. By the late 1980s Tajik nationalists were calling for increased rights. Real disturbances did not occur within the republic until 1990. The following year, the Soviet Union collapsed, and Tajikistan declared its independence.","Between 60,000(4%) and 120,000(8%) of Tajikistan's 1,530,000 citizens were killed during World War II.",what percent of tajiks were killed during the war ?,T5 Large
2.8,3.0,3.0,What was the name of West's new album?,4.4843477259440577e-13,0.08034433285509324,0.33964365256124723,0.9285627603530884,0.5850734168988536,What did Kanye change the title of his next planned album from So Help Me God to?,SWISH,"Having initially announced a new album entitled So Help Me God slated for a 2014 release, in March 2015 West announced that the album would instead be tentatively called SWISH. Later that month, West was awarded an honorary doctorate by the School of the Art Institute of Chicago for his contributions to music, fashion, and popular culture, officially making him an honorary DFA. The next month, West headlined at the Glastonbury Festival in the UK, despite a petition signed by almost 135,000 people against his appearance. At one point, he told the audience: ""You are now watching the greatest living rock star on the planet."" Media outlets, including social media sites such as Twitter, were sharply divided on his performance. NME stated, ""The decision to book West for the slot has proved controversial since its announcement, and the show itself appeared to polarise both Glastonbury goers and those who tuned in to watch on their TVs."" The publication added that ""he's letting his music speak for and prove itself."" The Guardian said that ""his set has a potent ferocity – but there are gaps and stutters, and he cuts a strangely lone figure in front of the vast crowd.""",West announced that the album would instead be tentatively called SWISH.,what did kanye change the title of his next planned album from so help me god to ?,T5 Large
2.4,3.0,3.0,What French retailer was accused of donating funds to the Dalai Lama?,6.466227686450042e-13,0.14035087719298245,0.3382624768946396,0.8833604454994202,0.5518037389809712,Which French company was boycotted?,Carrefour,"In China, a call to boycott French hypermart Carrefour from May 1 began spreading through mobile text messaging and online chat rooms amongst the Chinese over the weekend from April 12, accusing the company's major shareholder, the LVMH Group, of donating funds to the Dalai Lama. There were also calls to extend the boycott to include French luxury goods and cosmetic products. Chinese protesters organized boycotts of the French-owned retail chain Carrefour in major Chinese cities including Kunming, Hefei and Wuhan, accusing the French nation of pro-secessionist conspiracy and anti-Chinese racism. Some burned French flags, some added Swastika (due to its conotaions with Nazism) to the French flag, and spread short online messages calling for large protests in front of French consulates and embassy. Some shoppers who insisted on entering one of the Carrefour stores in Kunming were blocked by boycotters wielding large Chinese flags and hit by water bottles. Hundreds of people joined Anti-French rallies in Beijing, Wuhan, Hefei, Kunming and Qingdao, which quickly spread to other cities like Xi'an, Harbin and Jinan. Carrefour denied any support or involvement in the Tibetan issue, and had its staff in its Chinese stores wear uniforms emblazoned with the Chinese national flag and caps with Olympic insignia and as well as the words ""Beijing 2008"" to show its support for the games. The effort had to be ceased when the BOCOG deemed the use of official Olympic insignia as illegal and a violation of copyright.",Some shoppers who insisted on entering one of the Carrefour stores in Kunming were blocked by boycotters wielding large Chinese flags and hit by water bottles.,which french company was boycotted ?,T5 Large
3.0,3.0,2.8,Where was the Jesuit Ratio Studiorum from?,6.036875907977461e-13,0.043740772422126345,0.10234899328859062,0.8494600057601929,0.5378993384612565,On which university did Notre Dame base its curriculum on?,Saint Louis University,"The College of Arts and Letters was established as the university's first college in 1842 with the first degrees given in 1849. The university's first academic curriculum was modeled after the Jesuit Ratio Studiorum from Saint Louis University. Today the college, housed in O'Shaughnessy Hall, includes 20 departments in the areas of fine arts, humanities, and social sciences, and awards Bachelor of Arts (B.A.) degrees in 33 majors, making it the largest of the university's colleges. There are around 2,500 undergraduates and 750 graduates enrolled in the college.",The university's first academic curriculum was modeled after the Jesuit Ratio Studiorum from Saint Louis University.,on which university did notre dame base its curriculum on ?,T5 Large
3.0,3.0,3.0,What was the name of Jay-Z's 2001 album?,0.27429553964653786,0.23926208473390184,0.5987730061349694,0.9488244652748108,0.6687001602146359,What was the name of the CD West produced for Jay Z in 2001?,The Blueprint,"West got his big break in the year 2000, when he began to produce for artists on Roc-A-Fella Records. West came to achieve recognition and is often credited with revitalizing Jay-Z's career with his contributions to the rap mogul's influential 2001 album The Blueprint. The Blueprint is consistently ranked among the greatest hip-hop albums, and the critical and financial success of the album generated substantial interest in West as a producer. Serving as an in-house producer for Roc-A-Fella Records, West produced records for other artists from the label, including Beanie Sigel, Freeway, and Cam'ron. He also crafted hit songs for Ludacris, Alicia Keys, and Janet Jackson.",West came to achieve recognition and is often credited with revitalizing Jay-Z's career with his contributions to the rap mogul's influential 2001 album The Blueprint.,what was the name of the cd west produced for jay z in 2001 ?,T5 Large
2.4,3.0,3.0,How does Whitehead see God?,8.723184009457538e-13,0.21280070251231567,0.3588235294117647,0.9130969643592834,0.6142100382835176,In what way did Whitehead view God as deficient?,deficient in actuality and change,"Whitehead thus sees God and the world as fulfilling one another. He sees entities in the world as fluent and changing things that yearn for a permanence which only God can provide by taking them into God's self, thereafter changing God and affecting the rest of the universe throughout time. On the other hand, he sees God as permanent but as deficient in actuality and change: alone, God is merely eternally unrealized possibilities, and requires the world to actualize them. God gives creatures permanence, while the creatures give God actuality and change. Here it is worthwhile to quote Whitehead at length:","On the other hand, he sees God as permanent but as deficient in actuality and change: alone, God is merely eternally unrealized possibilities, and requires the world to actualize them.",in what way did whitehead view god as deficient ?,T5 Large
3.0,3.0,2.8,What did Whitehead believe religion necessitates the realization of?,0.30213753969949836,0.34485986001262986,0.6376306620209059,0.9189002513885498,0.6812061453481572,What realization did Whitehead believe religion made necessary?,"""the value of the objective world which is a community derivative from the interrelations of its component individuals.""","However, while Whitehead saw religion as beginning in solitariness, he also saw religion as necessarily expanding beyond the individual. In keeping with his process metaphysics in which relations are primary, he wrote that religion necessitates the realization of ""the value of the objective world which is a community derivative from the interrelations of its component individuals."" In other words, the universe is a community which makes itself whole through the relatedness of each individual entity to all the others – meaning and value do not exist for the individual alone, but only in the context of the universal community. Whitehead writes further that each entity ""can find no such value till it has merged its individual claim with that of the objective universe. Religion is world-loyalty. The spirit at once surrenders itself to this universal claim and appropriates it for itself."" In this way the individual and universal/social aspects of religion are mutually dependent.","In keeping with his process metaphysics in which relations are primary, he wrote that religion necessitates the realization of ""the value of the objective world which is a community derivative from the interrelations of its component individuals.""",what realization did whitehead believe religion made necessary ?,T5 Large
3.0,3.0,3.0,In what season was the group round eliminated?,5.10607476252634e-09,0.22980752457773315,0.3929146537842191,0.900391697883606,0.6058401305471265,Which season did not have a group round in Hollywood?,seven,"Once in Hollywood, the contestants perform individually or in groups in a series of rounds. Until season ten, there were usually three rounds of eliminations in Hollywood. In the first round the contestants emerged in groups but performed individually. For the next round, the contestants put themselves in small groups and perform a song together. In the final round, the contestants perform solo with a song of their choice a cappella or accompanied by a band‍—‌depending on the season. In seasons two and three, contestants were also asked to write original lyrics or melody in an additional round after the first round. In season seven, the group round was eliminated and contestants may, after a first solo performance and on judges approval, skip a second solo round and move directly to the final Hollywood round. In season twelve, the executive producers split up the females and males and chose the members to form the groups in the group round.","In season seven, the group round was eliminated and contestants may, after a first solo performance and on judges approval, skip a second solo round and move directly to the final Hollywood round.",which season did not have a group round in hollywood ?,T5 Large
