,answerability,grammaticality,understandability
R-L-B4,6.189792378241687e-05,0.04858087465630323,0.0015915574026557078
R-L-BS,0.04258032280442681,,
MTR-B4,1.1102230246251565e-16,0.013801639015187828,7.059062179237685e-08
MTR-R-L,2.720993985683151e-09,0.18379545078172155,0.000641039638676788
MTR-BS,1.289101132506687e-07,,
MTR-MS,0.0611099780682578,,
BS-B4,0.2402521262791003,3.097374660498975e-05,5.405851544182383e-09
MS-B4,7.123983625234587e-10,0.0006298531033444021,6.090768663868928e-07
MS-R-L,0.00019255724100064597,0.012078834565225516,0.001474969504733914
MS-BS,1.0428164876064017e-06,,
BS-R-L,,0.0004424799130583468,6.487799304455422e-06
BS-MTR,,0.0035512679743621156,0.010243609798689546
BS-MS,,0.027484228510002096,0.0062204308627522575
MS-MTR,,0.05866276040403651,0.41455681463708927
