Model,Data,Type,Language Model,BERTScore,METEOR,MoverScore,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L
lmqg/mbart-large-cc25-dequad-qg-ae,lmqg/qg_dequad,Multitask QAG,facebook/mbart-large-cc25,80.57,15.43,56.4,11.17,4.71,1.96,0.78,12.36
lmqg/mbart-large-cc25-dequad-qg,lmqg/qg_dequad,QG,facebook/mbart-large-cc25,80.77,13.71,55.88,10.96,4.48,1.91,0.75,11.19
lmqg/mt5-base-dequad-qg-ae,lmqg/qg_dequad,Multitask QAG,google/mt5-base,77.86,10.56,53.77,8.19,3.17,1.12,0.38,8.58
lmqg/mt5-base-dequad-qg,lmqg/qg_dequad,QG,google/mt5-base,80.39,13.65,55.73,10.85,4.61,2.06,0.87,11.1
lmqg/mt5-small-dequad-qg-ae,lmqg/qg_dequad,Multitask QAG,google/mt5-small,80.39,12.18,55.1,10.13,4.24,1.89,0.82,10.15
lmqg/mt5-small-dequad-qg,lmqg/qg_dequad,QG,google/mt5-small,79.9,11.47,54.64,10.18,4.02,1.6,0.43,10.08
lmqg/mbart-large-cc25-esquad-qg-ae,lmqg/qg_esquad,Multitask QAG,facebook/mbart-large-cc25,79.36,19.58,56.05,22.05,14.55,10.34,7.61,20.95
lmqg/mbart-large-cc25-esquad-qg,lmqg/qg_esquad,QG,facebook/mbart-large-cc25,83.58,22.95,58.91,25.02,16.93,12.28,9.18,24.26
lmqg/mt5-base-esquad-qg-ae,lmqg/qg_esquad,Multitask QAG,google/mt5-base,83.97,23.11,59.15,25.88,17.67,12.84,9.62,24.82
lmqg/mt5-base-esquad-qg,lmqg/qg_esquad,QG,google/mt5-base,84.47,23.43,59.62,26.73,18.46,13.5,10.15,25.45
lmqg/mt5-small-esquad-qg-ae,lmqg/qg_esquad,Multitask QAG,google/mt5-small,83.39,21.66,58.34,24.5,16.48,11.83,8.79,23.13
lmqg/mt5-small-esquad-qg,lmqg/qg_esquad,QG,google/mt5-small,84.07,22.71,59.06,26.03,17.75,12.88,9.61,24.62
lmqg/mbart-large-cc25-itquad-qg-ae,lmqg/qg_itquad,Multitask QAG,facebook/mbart-large-cc25,79.29,16.86,55.92,22.03,14.31,9.9,7.06,20.15
lmqg/mbart-large-cc25-itquad-qg,lmqg/qg_itquad,QG,facebook/mbart-large-cc25,80.63,17.97,56.84,22.51,14.62,10.06,7.13,21.69
lmqg/mt5-base-itquad-qg-ae,lmqg/qg_itquad,Multitask QAG,google/mt5-base,81.15,18.56,57.15,23.3,15.39,10.74,7.72,22.81
lmqg/mt5-base-itquad-qg,lmqg/qg_itquad,QG,google/mt5-base,81.16,18.0,57.11,23.29,15.37,10.72,7.7,22.51
lmqg/mt5-small-itquad-qg-ae,lmqg/qg_itquad,Multitask QAG,google/mt5-small,80.61,17.5,56.63,22.53,14.75,10.19,7.25,21.84
lmqg/mt5-small-itquad-qg,lmqg/qg_itquad,QG,google/mt5-small,80.8,17.57,56.79,22.78,14.93,10.34,7.37,21.93
lmqg/mbart-large-cc25-jaquad-qg-ae,lmqg/qg_jaquad,Multitask QAG,facebook/mbart-large-cc25,81.85,29.21,59.37,55.9,43.93,36.18,30.46,51.78
lmqg/mbart-large-cc25-jaquad-qg,lmqg/qg_jaquad,QG,facebook/mbart-large-cc25,82.26,29.97,59.88,57.05,45.45,37.81,32.16,52.95
lmqg/mt5-base-jaquad-qg-ae,lmqg/qg_jaquad,Multitask QAG,google/mt5-base,81.01,28.83,58.85,55.86,43.75,35.88,30.12,50.8
lmqg/mt5-base-jaquad-qg,lmqg/qg_jaquad,QG,google/mt5-base,81.77,30.58,59.68,57.89,46.06,38.25,32.54,52.67
lmqg/mt5-small-jaquad-qg-ae,lmqg/qg_jaquad,Multitask QAG,google/mt5-small,81.64,29.64,59.42,56.94,45.23,37.37,31.55,52.58
