model,language model,training data,test data,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,BERTScore,MoverScore
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),54.07,37.62,28.18,21.65,23.83,48.95,90.01,62.75
[`lmqg/mt5-small-ruquad-qg`](https://huggingface.co/lmqg/mt5-small-ruquad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_ruquad`](https://huggingface.co/datasets/lmqg/qg_ruquad),[`lmqg/qg_ruquad`](https://huggingface.co/datasets/lmqg/qg_ruquad),31.03,24.58,19.92,16.31,26.39,31.39,84.27,62.49
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_ruquad`](https://huggingface.co/datasets/lmqg/qg_ruquad),0.89,0.07,0.0,0.0,1.78,0.99,70.89,49.1
[`lmqg/mt5-small-jaquad-qg`](https://huggingface.co/lmqg/mt5-small-jaquad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_jaquad`](https://huggingface.co/datasets/lmqg/qg_jaquad),[`lmqg/qg_jaquad`](https://huggingface.co/datasets/lmqg/qg_jaquad),56.34,44.28,36.31,30.49,29.03,50.88,80.87,58.67
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_jaquad`](https://huggingface.co/datasets/lmqg/qg_jaquad),3.62,0.24,0.06,0.0,0.51,6.08,66.08,46.53
[`lmqg/mt5-small-itquad-qg`](https://huggingface.co/lmqg/mt5-small-itquad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_itquad`](https://huggingface.co/datasets/lmqg/qg_itquad),[`lmqg/qg_itquad`](https://huggingface.co/datasets/lmqg/qg_itquad),22.78,14.93,10.34,7.37,17.57,21.93,80.8,56.79
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_itquad`](https://huggingface.co/datasets/lmqg/qg_itquad),5.63,2.4,1.12,0.54,5.89,5.01,72.6,50.23
[`lmqg/mt5-small-koquad-qg`](https://huggingface.co/lmqg/mt5-small-koquad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_koquad`](https://huggingface.co/datasets/lmqg/qg_koquad),[`lmqg/qg_koquad`](https://huggingface.co/datasets/lmqg/qg_koquad),25.31,18.59,13.98,10.57,27.52,25.64,82.89,82.49
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_koquad`](https://huggingface.co/datasets/lmqg/qg_koquad),0.05,0.01,0.0,0.0,0.73,0.06,66.34,45.86
[`lmqg/mt5-small-esquad-qg`](https://huggingface.co/lmqg/mt5-small-esquad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_esquad`](https://huggingface.co/datasets/lmqg/qg_esquad),[`lmqg/qg_esquad`](https://huggingface.co/datasets/lmqg/qg_esquad),26.03,17.75,12.88,9.61,22.71,24.62,84.07,59.06
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_esquad`](https://huggingface.co/datasets/lmqg/qg_esquad),5.7,2.42,1.15,0.59,6.02,5.21,74.94,50.62
[`lmqg/mt5-small-dequad-qg`](https://huggingface.co/lmqg/mt5-small-dequad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_dequad`](https://huggingface.co/datasets/lmqg/qg_dequad),[`lmqg/qg_dequad`](https://huggingface.co/datasets/lmqg/qg_dequad),10.18,4.02,1.6,0.43,11.47,10.08,79.9,54.64
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_dequad`](https://huggingface.co/datasets/lmqg/qg_dequad),1.56,0.13,0.0,0.0,4.81,1.56,73.53,50.37
[`lmqg/mt5-small-frquad-qg`](https://huggingface.co/lmqg/mt5-small-frquad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_frquad`](https://huggingface.co/datasets/lmqg/qg_frquad),[`lmqg/qg_frquad`](https://huggingface.co/datasets/lmqg/qg_frquad),29.26,17.56,12.03,8.55,17.51,28.56,80.71,56.5
[`lmqg/mt5-small-squad-qg`](https://huggingface.co/lmqg/mt5-small-squad-qg),[`mt5-small`](https://huggingface.co/mt5-small),[`lmqg/qg_squad`](https://huggingface.co/datasets/lmqg/qg_squad),[`lmqg/qg_frquad`](https://huggingface.co/datasets/lmqg/qg_frquad),15.64,6.16,3.13,1.71,8.24,15.84,72.91,50.96
