Model,BLEU 4,ROUGE L,METEOR,aggregation
BART (BASE),24.6842016024829,52.65935194632172,26.054388074278158,answer/first
BART (BASE),23.97416631446272,52.04555446829134,25.711823890073067,answer/last
BART (BASE),24.6351803628545,51.94567143166422,26.213628027551618,answer/long
BART (BASE),24.85677714229691,52.4542075952594,26.215299172287526,answer/middle
BART (BASE),23.64845442468085,52.40057639320038,25.406129219576208,answer/short
BART (BASE),24.721520267604696,52.489171821794336,25.948081540003447,first
BART (BASE),23.708732677856457,51.88102263366985,25.711823890073067,last
BART (BASE),24.768579303934803,51.89280561188415,26.357321129341415,long
BART (BASE),24.949835818870056,52.382783448073866,26.31466455813963,middle
BART (BASE),23.69050438801161,52.05758344274256,25.575133913524184,short
BART (LARGE),26.168385362299556,53.84959163821219,27.073122286541956,answer/first
BART (LARGE),25.479643754150477,53.23784174439319,26.75138056090628,answer/last
BART (LARGE),25.45515466150676,52.77399645215121,27.10187045562104,answer/long
BART (LARGE),26.27934824232184,53.564957513525044,27.251287676681773,answer/middle
BART (LARGE),25.278445813292876,53.75834840503951,26.478660543217213,answer/short
BART (LARGE),25.881436072110564,53.661655871573025,27.073122286541956,first
BART (LARGE),25.21100367409487,53.063480589535786,26.75138056090628,last
BART (LARGE),24.906932001222597,52.40709988324246,26.89474234654049,long
BART (LARGE),26.02170158691231,53.391562992310014,27.248640208530745,middle
BART (LARGE),25.526865096259755,53.7954208201864,26.887442879128937,short
T5 (BASE),26.126737057730466,53.33307073897507,26.96865032666546,answer/first
T5 (BASE),25.640817846122165,52.919578485921356,26.718726357969953,answer/last
T5 (BASE),25.36471216949569,52.4419366182952,27.054170450367675,answer/long
T5 (BASE),26.166288898196814,53.11589667839197,27.152282858368626,answer/middle
T5 (BASE),25.399290172010865,53.34800871817873,26.42222228263184,answer/short
T5 (BASE),25.782379633936397,53.11448555997408,26.96865032666546,first
T5 (BASE),25.33808361036184,52.7325023287338,26.718726357969953,last
T5 (BASE),25.09393628417047,51.99329916509898,26.63073654244578,long
T5 (BASE),25.347342623482046,52.55091955185674,26.72732971143967,middle
T5 (BASE),25.06307173064907,53.120906054104985,26.414050449587773,short
T5 (LARGE),27.214845793535442,54.132158826937136,27.69538809070124,answer/first
T5 (LARGE),26.64937366310581,53.74520577042104,27.4357697469397,answer/last
T5 (LARGE),26.10462806748948,53.20814872272046,27.770175419194416,answer/long
T5 (LARGE),27.07851539697509,53.95565556704046,27.89145552301771,answer/middle
T5 (LARGE),26.54774554517511,54.25842885732717,27.161148043572584,answer/short
T5 (LARGE),26.871173624460816,53.909479879941536,27.69538809070124,first
T5 (LARGE),26.59344166575873,53.657042619594264,27.571000757837115,last
T5 (LARGE),25.89203339891057,52.97695021166305,27.811091465386113,long
T5 (LARGE),26.93555476114402,53.792449366551345,27.949166018188244,middle
T5 (LARGE),26.47466906476175,54.24867548540854,27.340858752149426,short
T5 (SMALL),24.39877627990363,51.43371946611934,25.835963716033643,answer/first
T5 (SMALL),23.822959468619906,50.95202664548373,25.50395403170923,answer/last
T5 (SMALL),23.40136886118015,50.44880494687718,25.85831870272799,answer/long
T5 (SMALL),24.34412566803536,51.19020735953265,25.969611075746187,answer/middle
T5 (SMALL),23.8138546364823,51.57950054179382,25.304936072339,answer/short
T5 (SMALL),23.8243933832587,51.05781987960505,25.46865356520966,first
T5 (SMALL),23.242652595028993,50.54250859296402,25.191821487911636,last
T5 (SMALL),23.17740373911816,50.09818092974646,25.507048459719666,long
T5 (SMALL),23.740137600008687,50.75598964349622,25.592971801675645,middle
T5 (SMALL),23.5482473095209,51.37344459725405,25.306322771214816,short
