Model,Model Size,Model Input (Train),Model Input (Test),BLEU 4,ROUGE L,METEOR,BERTScore,MoverScore,BLEU 4 (answer-level),ROUGE L (answer-level),METEOR (answer-level),BERTScore (answer-level),MoverScore (answer-level)
BART (BASE),140,paragraph+answer,paragraph+answer,24.6842016024829,52.65935194632172,26.054388074278158,90.87148593157369,64.47365106624862,20.243812842079034,49.160599753395665,24.04742930226341,90.62145921360354,64.2027806945151
BART (LARGE),400,paragraph+answer,paragraph+answer,26.168385362299556,53.84959163821219,27.073122286541956,91.00413219045603,64.99011626820898,21.75006443069832,50.48846307368889,25.127931898892996,90.78085479576139,64.80376903024519
T5 (SMALL),60,paragraph+answer,paragraph+answer,24.39877627990363,51.43371946611934,25.835963716033643,90.44516348043122,63.885229330620255,19.7369294400291,47.77178735535678,23.57740550207323,90.19755928707292,63.623545040853
T5 (BASE),220,paragraph+answer,paragraph+answer,26.126737057730466,53.33307073897507,26.96865032666546,90.8389639107133,64.74283290606829,21.596375310342957,49.87882073805194,24.97186904511465,90.59482368343335,64.52400523056308
T5 (LARGE),770,paragraph+answer,paragraph+answer,27.214845793535442,54.132158826937136,27.69538809070124,90.99698595823614,65.29244188747067,22.69089971193654,50.876765141718884,25.66433336761717,90.76413288254564,65.06232835911085
BART (BASE),140,paragraph+answer,paragraph+sentence,13.959478070174294,40.87914146586592,18.370305134448063,89.24979966355603,59.77704668398225,9.578148820004335,35.514343378098864,15.556718211565398,88.97167586804521,59.46313376422817
BART (LARGE),400,paragraph+answer,paragraph+sentence,16.074057597887776,42.34313041414616,19.604986539635274,89.23150304563778,60.32537962108887,11.121393245254357,36.86138322100525,16.577186133973303,88.96329841489712,59.94322523026575
T5 (SMALL),60,paragraph+answer,paragraph+sentence,15.424265213453184,40.91735150895949,19.97662409007456,88.53830310481898,59.743582061600875,10.570687979994615,35.45586109903566,16.799358861558684,88.23600042606029,59.27459125026432
T5 (BASE),220,paragraph+answer,paragraph+sentence,16.424336345741064,42.77664578690738,20.09605361577684,89.07423792154904,60.260836062183955,11.363882985768562,37.151103456353354,16.971331963140273,88.77897488054145,59.82540607543025
T5 (LARGE),770,paragraph+answer,paragraph+sentence,17.160206224833587,43.409363511504154,20.413670367568383,89.24455172189086,60.539788088190036,11.774378264419875,37.49168493263164,17.13167116216246,88.93217166796812,60.058730439969956
BART (BASE),140,paragraph+answer,sentence+answer,23.197984432670445,51.015301118621196,24.592721733007053,90.78435220868202,63.648401657201994,18.912378125425196,47.772449157601585,22.715528098450548,90.56286254123455,63.512901854459045
BART (LARGE),400,paragraph+answer,sentence+answer,24.57626862803864,52.37213011923386,25.774363720734016,90.98817606557942,64.19221878533699,20.29618202291659,49.107561310842925,23.874585054887206,90.74541358491271,64.06045757379138
T5 (SMALL),60,paragraph+answer,sentence+answer,22.82112796900423,50.08520852950916,24.44364082778075,90.4402910865579,63.20781971178454,18.445120088214427,46.605191791679516,22.429853587449397,90.21955748554672,63.037261166502475
T5 (BASE),220,paragraph+answer,sentence+answer,24.326629063018533,51.75783405084632,25.522351138081333,90.79558876484758,63.910975035465114,20.01354915192611,48.34655372602955,23.579034240363004,90.56721699301058,63.7818757863144
T5 (LARGE),770,paragraph+answer,sentence+answer,24.96154745392996,52.46956893136502,25.966064390535287,90.97300244252222,64.29425259202542,20.723173683298782,49.208779067222395,24.0792854336007,90.7385004658766,64.21170463510363
BART (BASE),140,sentence+answer,paragraph+answer,23.6757015891728,51.29502643237112,25.01352511924703,90.64020332771113,63.977623512742475,19.386011837337236,47.90379364538569,23.12166049288908,90.39260606437738,63.695038136865556
BART (LARGE),400,sentence+answer,paragraph+answer,23.6757015891728,51.29502643237112,25.01352511924703,90.6402032461714,63.977623512742475,19.386011837337236,47.90379364538569,23.12166049288908,90.39260601118136,63.695038136865556
T5 (SMALL),60,sentence+answer,paragraph+answer,23.349926865772538,50.51176301939,24.83120643455213,90.34379432252281,63.44747434744118,18.820107569102788,46.8856644068797,22.715900337078075,90.09319039530111,63.162220904932234
T5 (BASE),220,sentence+answer,paragraph+answer,25.621551412628605,53.165062960837126,26.64764608971179,90.83691984683867,64.69455096832166,21.005967863817876,49.6801759219182,24.585361219330906,90.60807662338604,64.42892404245278
T5 (LARGE),770,sentence+answer,paragraph+answer,26.732275161052765,53.95348882945795,27.350531590779536,90.99290064405548,65.18743420881441,22.018695540997353,50.51032394231918,25.247780826407585,90.7400583401868,64.91414089142621
BART (BASE),140,sentence+answer,paragraph+sentence,12.566017189804294,38.917637123763754,16.812369882775393,88.8063598220347,59.13243876348301,8.667748865485137,34.10841555120718,14.365567342135687,88.59723464471277,58.85328059188496
