,QAEval (F1),QAEval (EM)
QAEval (F1),1.0,0.9737740549909968
QAEval (EM),0.9737740549909968,1.0000000000000002
BERTScore,0.3758462203677568,0.5070075479259972
METEOR,0.46185406876302393,0.5533374126802436
MoverScore,0.3671909120738789,0.4869297726499703
QAAlignedF1Score (BERTScore),0.8210592230580296,0.857620392467988
QAAlignedF1Score (MoverScore),0.6089427809274409,0.7043422583237005
QAAlignedPrecision (BERTScore),0.7429067296326994,0.7998875053577562
QAAlignedPrecision (MoverScore),0.4441135942139695,0.567122370013513
QAAlignedRecall (BERTScore),0.8738725287152305,0.8924105324413574
QAAlignedRecall (MoverScore),0.712967279578745,0.7838598316002321
BLEU-1,0.2660023248016658,0.42419692815424276
BLEU-2,0.23463161871073288,0.3923345512122657
BLEU-3,0.143720796966286,0.31142306342915543
BLEU-4,0.10222291045718457,0.2738840736337946
ROUGE-L,0.34839564026528896,0.46911867397795515
