data,model,sum,mean
squad,original,11877,4.889666529435982
squad,t5-small-squad-multitask,10163,4.2117695814339
squad,t5-base-squad-multitask,10251,4.237701529557668
squad,t5-large-squad-multitask,10254,4.23019801980198
jaquad,original,3939,1.2914754098360657
jaquad,mt5-small-jaquad-multitask,20325,6.663934426229508
esquad,original,10570,1.2837017245567162
esquad,mt5-small-esquad-multitask,47607,5.800073099415204
koquad,original,5766,1.2980639351643404
koquad,mt5-small-koquad-multitask,45264,10.194594594594594
frquad,original,3188,1.3222729158025714
frquad,mt5-small-frquad-multitask,12262,5.092192691029901
ruquad,original,5036,1.2536718944485934
ruquad,mt5-small-ruquad-multitask,25862,6.44134495641345
itquad,original,7609,3.8274647887323945
itquad,mt5-small-itquad-multitask,11756,5.922418136020151
dequad,original,2226,4.487903225806452
dequad,mt5-small-dequad-multitask,4249,9.07905982905983
