model,language model,type,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,BERTScore,MoverScore
[`lmqg/t5-small-squad-qg`](https://huggingface.co/lmqg/t5-small-squad-qg),[`t5-small`](https://huggingface.co/t5-small),paragraph-level,56.86,40.59,31.05,24.4,25.84,51.43,90.2,63.89
[`research-backup/t5-small-squad-qg-no-paragraph`](https://huggingface.co/research-backup/t5-small-squad-qg-no-paragraph),[`t5-small`](https://huggingface.co/t5-small),sentence-level,55.45,39.2,29.83,23.35,24.83,50.51,90.34,63.45
[`research-backup/t5-small-squad-qg-no-answer`](https://huggingface.co/research-backup/t5-small-squad-qg-no-answer),[`t5-small`](https://huggingface.co/t5-small),answer-free,53.3,36.84,27.69,21.49,23.38,48.14,89.89,62.35
[`research-backup/t5-small-squad-qg-default`](https://huggingface.co/research-backup/t5-small-squad-qg-default),[`t5-small`](https://huggingface.co/t5-small),no-parameter-optimization,54.85,38.46,29.07,22.67,24.68,49.54,90.17,63.06
[`lmqg/t5-base-squad-qg`](https://huggingface.co/lmqg/t5-base-squad-qg),[`t5-base`](https://huggingface.co/t5-base),paragraph-level,58.69,42.66,32.99,26.13,26.97,53.33,90.6,64.74
[`research-backup/t5-base-squad-qg-no-paragraph`](https://huggingface.co/research-backup/t5-base-squad-qg-no-paragraph),[`t5-base`](https://huggingface.co/t5-base),sentence-level,57.84,42.0,32.41,25.62,26.65,53.17,90.84,64.69
[`research-backup/t5-base-squad-qg-no-answer`](https://huggingface.co/research-backup/t5-base-squad-qg-no-answer),[`t5-base`](https://huggingface.co/t5-base),answer-free,55.51,39.4,30.11,23.67,25.13,51.0,90.44,63.66
[`research-backup/t5-base-squad-qg-default`](https://huggingface.co/research-backup/t5-base-squad-qg-default),[`t5-base`](https://huggingface.co/t5-base),no-parameter-optimization,57.68,41.74,32.17,25.41,26.58,52.75,90.74,64.46
[`lmqg/t5-large-squad-qg`](https://huggingface.co/lmqg/t5-large-squad-qg),[`t5-large`](https://huggingface.co/t5-large),paragraph-level,59.54,43.79,34.14,27.21,27.7,54.13,91.0,65.29
[`research-backup/t5-large-squad-qg-no-paragraph`](https://huggingface.co/research-backup/t5-large-squad-qg-no-paragraph),[`t5-large`](https://huggingface.co/t5-large),sentence-level,58.85,43.14,33.57,26.73,27.35,53.95,90.99,65.19
[`research-backup/t5-large-squad-qg-no-answer`](https://huggingface.co/research-backup/t5-large-squad-qg-no-answer),[`t5-large`](https://huggingface.co/t5-large),answer-free,56.44,40.29,30.87,24.27,25.67,51.3,90.41,63.97
[`research-backup/t5-large-squad-qg-default`](https://huggingface.co/research-backup/t5-large-squad-qg-default),[`t5-large`](https://huggingface.co/t5-large),no-parameter-optimization,59.39,43.58,33.91,27.03,27.71,53.98,90.92,65.21
[`lmqg/bart-base-squad-qg`](https://huggingface.co/lmqg/bart-base-squad-qg),[`facebook/bart-base`](https://huggingface.co/facebook/bart-base),paragraph-level,56.92,40.98,31.44,24.68,26.05,52.66,90.87,64.47
[`research-backup/bart-base-squad-qg-no-paragraph`](https://huggingface.co/research-backup/bart-base-squad-qg-no-paragraph),[`facebook/bart-base`](https://huggingface.co/facebook/bart-base),sentence-level,55.5,39.56,30.22,23.68,25.01,51.3,90.64,63.98
[`research-backup/bart-base-squad-qg-no-answer`](https://huggingface.co/research-backup/bart-base-squad-qg-no-answer),[`facebook/bart-base`](https://huggingface.co/facebook/bart-base),answer-free,52.64,37.04,28.15,21.97,23.72,49.7,90.38,63.07
[`research-backup/bart-base-squad-qg-default`](https://huggingface.co/research-backup/bart-base-squad-qg-default),[`facebook/bart-base`](https://huggingface.co/facebook/bart-base),no-parameter-optimization,56.88,40.75,31.18,24.4,25.99,52.49,90.87,64.48
[`lmqg/bart-large-squad-qg`](https://huggingface.co/lmqg/bart-large-squad-qg),[`facebook/bart-large`](https://huggingface.co/facebook/bart-large),paragraph-level,58.79,42.79,33.11,26.17,27.07,53.85,91.0,64.99
[`research-backup/bart-large-squad-qg-no-paragraph`](https://huggingface.co/research-backup/bart-large-squad-qg-no-paragraph),[`facebook/bart-large`](https://huggingface.co/facebook/bart-large),sentence-level,55.5,39.56,30.22,23.68,25.01,51.3,90.64,63.98
[`research-backup/bart-large-squad-qg-no-answer`](https://huggingface.co/research-backup/bart-large-squad-qg-no-answer),[`facebook/bart-large`](https://huggingface.co/facebook/bart-large),answer-free,56.16,39.95,30.55,23.93,25.37,51.1,90.53,63.7
[`research-backup/bart-large-squad-qg-default`](https://huggingface.co/research-backup/bart-large-squad-qg-default),[`facebook/bart-large`](https://huggingface.co/facebook/bart-large),no-parameter-optimization,56.25,40.27,30.71,23.94,25.91,52.2,90.95,64.42
